eightd_has_key_dispenser,station_type,electric_bike_surcharge_waiver,lat,lon,capacity,has_kiosk,short_name,name,externalId,stationId,legacyId,address
false,classic,false,41.775393,-87.654308,11,true,564,Racine Ave & 65th St,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.779374,-87.664843,11,true,16948,Ashland Ave & 63rd St,a3b23785-a135-11e9-9cda-0a87ae2ba916,a3b23785-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.954468,-87.749594,11,true,16991,Milwaukee Ave & Cuyler Ave,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,a3b2be3a-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.751785,-87.578496,11,true,16970,Bennett Ave & 79th St,a3b2862e-a135-11e9-9cda-0a87ae2ba916,a3b2862e-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.808227,-87.67718,11,true,KA1504000091,Hoyne Ave & 47th St,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.93314,-87.64776,4,false,13208,Burling St & Diversey Pkwy,2024842594057769234,2024842594057769234,undefined,undefined
false,classic,false,41.793446,-87.70345,11,false,24266,Kedzie Ave & 54th Pl,1963359453732131538,1963359453732131538,undefined,undefined
false,classic,false,41.84847,-87.685109,7,true,TA1309000003,Western Ave & 24th St,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.794228,-87.655073,11,true,559,Racine Ave & Garfield Blvd,a3b222fc-a135-11e9-9cda-0a87ae2ba916,a3b222fc-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.800908,-87.674684,7,true,554,Damen Ave & 51st St,a3b20960-a135-11e9-9cda-0a87ae2ba916,a3b20960-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.85308455741279,-87.63193130493164,11,true,13075,Wentworth Ave & Cermak Rd,a3a5a48b-a135-11e9-9cda-0a87ae2ba916,a3a5a48b-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.910077,-87.682306,4,false,PI00003,Leavitt St/North Ave,1866477298337982542,1866477298337982542,undefined,undefined
false,classic,false,41.892401,-87.612388,4,false,PI00002,Streeter Dr/Grand Ave,1866476559603607834,1866476559603607834,undefined,undefined
false,classic,false,41.743921,-87.575225,11,true,588,South Chicago Ave & 83rd St,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.77987,-87.650919,7,true,18025,Carpenter St & 63rd St,a3b453f2-a135-11e9-9cda-0a87ae2ba916,a3b453f2-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.786833,-87.666215,11,true,560,Marshfield Ave & 59th St,a3b22815-a135-11e9-9cda-0a87ae2ba916,a3b22815-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.758361,-87.614138,11,true,571,Vernon Ave & 75th St,a3b26084-a135-11e9-9cda-0a87ae2ba916,a3b26084-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.92459,-87.72785,11,true,16010,Keystone Ave & Fullerton Ave,a3b35885-a135-11e9-9cda-0a87ae2ba916,a3b35885-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.991178,-87.683593,11,true,KA1504000155,2112 W Peterson Ave,a3af2216-a135-11e9-9cda-0a87ae2ba916,a3af2216-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.886841,-87.745261,11,true,16903,Cicero Ave & Lake St,a3b10f66-a135-11e9-9cda-0a87ae2ba916,a3b10f66-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.77694,-87.59842,11,false,24376,University Ave & 65th St,1965904499533560722,1965904499533560722,undefined,undefined
false,classic,false,41.77938114228,-87.6446208145,11,true,KA1503000055,Halsted St & 63rd St,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.813996,-87.666589,11,true,549,Marshfield Ave & 44th St,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.803023,-87.664699,11,true,16940,Ashland Ave & 50th St,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.792822,-87.664429,11,true,16943,Ashland Ave & Garfield Blvd,a3b21de7-a135-11e9-9cda-0a87ae2ba916,a3b21de7-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.9458348,-87.7691848,11,true,23166,Major Ave & Addison St,1929121887488481484,1929121887488481484,undefined,undefined
false,classic,false,41.84163253965,-87.6574349533,11,true,KA1503000040,Loomis St & Archer Ave,a3ac7978-a135-11e9-9cda-0a87ae2ba916,a3ac7978-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.75916,-87.595751,11,true,569,Woodlawn Ave & 75th St,a3b25656-a135-11e9-9cda-0a87ae2ba916,a3b25656-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.768898,-87.635876,11,true,650,Eggleston Ave & 69th St,a3b45e26-a135-11e9-9cda-0a87ae2ba916,a3b45e26-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.88318130597391,-87.64872461557388,11,true,13053,Green St & Washington Blvd,a3a57a52-a135-11e9-9cda-0a87ae2ba916,a3a57a52-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.997136,-87.711217,11,true,23101,McCormick Blvd & Devon Ave,1861588043429399408,1861588043429399408,undefined,undefined
false,classic,false,42.019537,-87.669563,11,true,16806,Bosworth Ave & Howard St,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
false,classic,false,41.98366470886,-87.6964225611,11,true,15585,Budlong Woods Library,a3af624c-a135-11e9-9cda-0a87ae2ba916,a3af624c-a135-11e9-9cda-0a87ae2ba916,undefined,undefined
